,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
0,Turkiye,Middle East,2015,11.1,13.0,105.824,1.32,97,65,27.8,97,97,0.08,11006,78.53,4.9,4.8,7.8,0,1,76.5
6,Russian Federation,Rest of Europe,2015,6.6,8.2,223.0,8.06,97,97,26.2,97,97,0.08,9313,144.1,2.3,2.3,12.0,0,1,71.2
27,Cameroon,Africa,2015,57.0,88.0,340.1265,4.55,84,64,24.3,77,84,1.12,1383,23.3,5.6,5.5,6.1,0,1,57.6
43,"Gambia, The",Africa,2015,39.7,59.8,261.7065,2.69,97,64,23.9,96,97,0.96,661,2.09,7.3,7.2,3.4,0,1,60.9
57,Algeria,Africa,2015,21.6,25.2,95.8155,0.55,95,99,25.5,95,95,0.05,4178,39.73,6.0,5.8,7.9,0,1,76.1
74,Oman,Middle East,2015,9.6,11.2,89.1875,0.45,99,98,26.3,99,99,0.05,18445,4.27,7.1,6.9,9.5,0,1,76.9
101,Madagascar,Africa,2015,41.3,59.0,218.4575,0.86,69,64,21.3,68,69,0.24,467,24.23,7.1,7.1,6.1,0,1,65.5
112,Vietnam,Asia,2015,17.4,21.8,124.547,2.98,97,65,21.7,97,97,0.12,2582,92.68,14.2,14.5,8.0,0,1,75.1
121,Eswatini,Africa,2015,45.2,57.2,434.821,7.49,90,83,26.8,84,90,14.3,3680,1.1,4.0,4.1,6.5,0,1,55.4
160,Botswana,Africa,2015,39.6,49.7,248.595,6.14,95,80,24.3,96,95,5.81,6403,2.12,6.4,6.1,9.2,0,1,67.3
173,Nepal,Asia,2015,29.2,35.5,154.604,0.24,91,65,22.4,90,91,0.17,902,27.02,15.7,16.1,4.7,0,1,69.5
182,"Congo, Dem. Rep.",Africa,2015,73.0,95.9,260.0235,4.47,81,64,21.9,78,81,0.35,497,76.24,9.5,9.3,6.4,0,1,59.3
202,Belarus,Rest of Europe,2015,3.1,4.1,163.872,9.79,99,99,26.6,99,99,0.22,5967,9.46,1.9,2.0,12.2,0,1,73.6
216,Angola,Africa,2015,57.7,88.1,242.9655,6.53,64,64,23.2,62,64,0.89,3128,27.88,8.3,8.2,5.0,0,1,59.4
219,Ukraine,Rest of Europe,2015,8.1,9.5,202.8,6.04,22,57,26.5,51,23,0.23,2125,45.15,2.3,2.4,11.3,0,1,71.2
241,Costa Rica,Central America and Caribbean,2015,7.7,9.1,85.6715,3.19,92,90,27.3,92,92,0.19,11643,4.85,1.7,1.7,8.8,0,1,79.6
300,Chad,Africa,2015,75.7,128.7,363.167,0.66,46,64,21.9,52,46,0.42,776,14.11,8.5,8.4,2.3,0,1,53.1
303,Solomon Islands,Oceania,2015,19.3,22.7,148.087,1.01,98,65,26.2,85,98,0.17,2167,0.6,1.1,1.2,5.4,0,1,72.2
330,Iraq,Middle East,2015,24.8,29.7,162.9175,0.16,56,76,28.6,72,58,0.13,4688,35.57,5.3,5.1,6.6,0,1,69.9
333,Guinea-Bissau,Africa,2015,60.0,92.1,270.2885,3.13,87,64,23.4,83,87,1.58,603,1.74,7.1,7.0,2.9,0,1,57.0
415,Honduras,Central America and Caribbean,2015,16.5,19.2,146.5195,2.49,97,83,26.7,98,97,0.07,2302,9.11,2.1,2.1,6.3,0,1,74.5
426,Guinea,Africa,2015,68.4,107.3,262.871,0.38,54,64,22.9,47,54,0.74,769,11.43,7.3,7.3,2.6,0,1,59.6
451,Indonesia,Asia,2015,23.2,27.7,175.564,0.08,78,31,23.0,85,78,0.15,3332,258.38,1.4,1.2,7.9,0,1,70.8
473,Dominican Republic,Central America and Caribbean,2015,28.8,35.0,161.617,5.39,81,83,26.4,87,85,0.38,6922,10.28,3.3,3.2,7.8,0,1,73.2
487,Mexico,North America,2015,13.9,16.2,110.8405,4.24,82,96,27.9,87,87,0.16,9617,121.86,1.5,1.5,8.6,0,1,74.9
498,Benin,Africa,2015,63.2,97.6,242.9535,1.53,82,83,23.5,72,82,0.33,1077,10.58,6.9,6.8,3.5,0,1,60.6
511,St. Vincent and the Grenadines,Central America and Caribbean,2015,15.2,16.7,154.8235,7.41,98,83,27.1,97,98,0.4,7207,0.11,3.5,3.4,8.6,0,1,72.1
546,Kiribati,Oceania,2015,44.7,57.6,198.449,0.35,82,76,30.0,80,78,0.17,1535,0.11,0.1,0.1,7.9,0,1,67.3
556,Brazil,South America,2015,14.2,15.9,144.3625,6.63,96,80,26.5,98,96,0.24,8814,204.47,2.7,2.6,7.6,0,1,75.0
558,Guyana,South America,2015,27.4,33.1,209.372,5.48,95,95,26.3,92,95,0.59,5577,0.77,5.5,5.3,8.4,0,1,69.3
579,China,Asia,2015,8.3,10.7,82.273,5.66,99,99,23.7,99,99,0.1,8016,1379.86,3.6,2.9,7.7,0,1,75.9
584,Eritrea,Africa,2015,34.0,46.3,255.781,1.03,95,88,20.7,95,95,0.1,9011,0.35,8.4,8.2,3.9,0,1,64.7
590,Kuwait,Middle East,2015,7.5,8.8,58.1365,0.0,99,96,29.5,99,99,0.13,29870,3.84,3.5,3.4,7.1,0,1,75.1
608,Grenada,Central America and Caribbean,2015,14.3,16.2,141.3,8.2,92,89,26.9,99,92,0.4,9097,0.11,3.8,3.8,8.7,0,1,72.4
626,Albania,Rest of Europe,2015,8.5,9.6,75.205,4.33,99,98,26.6,99,99,0.03,3953,2.88,1.2,1.3,9.7,0,1,78.0
628,Lesotho,Africa,2015,72.6,94.6,513.4755,3.07,93,82,24.9,85,93,10.0,1146,2.06,5.5,5.3,6.1,0,1,51.0
638,Saudi Arabia,Middle East,2015,7.8,9.1,87.974,0.0,98,96,28.4,97,98,0.13,20628,31.72,7.8,7.6,9.5,0,1,74.7
639,India,Asia,2015,34.9,43.5,177.9465,3.0,87,69,21.7,86,87,0.06,1606,1310.15,26.7,27.3,6.3,0,1,68.6
687,Turkmenistan,Asia,2015,36.4,42.2,189.928,3.36,99,99,26.4,99,99,0.08,6433,5.57,3.3,3.3,9.8,0,1,67.7
696,Antigua and Barbuda,Central America and Caribbean,2015,6.5,7.8,130.0025,9.06,99,84,26.6,86,99,0.2,14285,0.09,3.3,3.3,9.2,0,1,76.5
699,Malawi,Africa,2015,36.7,53.3,294.858,2.04,88,64,22.8,88,88,2.59,381,16.75,6.4,6.2,4.4,0,1,62.0
716,Myanmar,Asia,2015,41.0,52.2,196.053,1.47,89,78,22.6,89,89,0.28,1197,52.68,12.8,13.0,4.9,0,1,65.8
727,Seychelles,Africa,2015,12.7,14.8,151.6085,8.7,98,98,26.6,97,97,3.5,15158,0.09,5.7,6.0,9.5,0,1,74.3
740,Burundi,Africa,2015,46.2,67.6,294.187,3.99,94,65,21.6,94,94,0.27,306,10.16,7.3,7.2,2.9,0,1,60.1
763,Mozambique,Africa,2015,61.3,84.0,332.583,1.22,88,64,22.7,88,80,3.5,590,27.04,3.6,3.5,3.5,0,1,57.2
769,Sierra Leone,Africa,2015,95.1,140.2,397.8705,3.06,86,60,22.7,86,86,0.85,588,7.17,7.4,7.3,3.4,0,1,52.9
786,Syrian Arab Republic,Middle East,2015,25.6,41.6,178.1065,0.23,41,47,28.2,50,41,0.13,979,18.0,6.3,6.1,5.1,0,1,69.9
809,El Salvador,Central America and Caribbean,2015,13.3,15.5,182.1595,2.54,91,88,27.6,92,91,0.18,3706,6.33,1.6,1.5,6.6,0,1,72.4
810,Panama,Central America and Caribbean,2015,14.6,17.0,114.701,6.84,73,92,26.8,72,73,0.4,13630,3.97,1.9,1.8,9.9,0,1,77.8
832,Jordan,Middle East,2015,15.0,17.5,109.942,0.3,99,96,28.9,99,99,0.13,4164,9.27,4.0,4.0,10.3,0,1,74.1
837,Tanzania,Africa,2015,40.9,58.1,239.667,7.86,98,64,23.1,96,98,2.01,948,51.48,6.7,6.5,5.8,0,1,63.1
839,Gabon,Africa,2015,36.1,50.3,238.5125,8.06,80,64,25.2,79,80,1.09,7385,1.95,6.1,5.9,8.1,0,1,64.9
849,Azerbaijan,Asia,2015,23.3,26.3,124.897,0.51,96,98,26.9,98,96,0.05,5500,9.65,2.8,2.9,10.7,0,1,72.3
851,Nigeria,Africa,2015,79.3,126.4,356.2145,4.51,49,64,23.2,42,49,0.58,2687,181.14,9.8,9.7,6.0,0,1,53.1
852,Thailand,Asia,2015,9.3,10.8,148.889,6.95,99,95,24.3,99,99,0.16,5840,68.71,7.7,7.7,7.6,0,1,76.1
868,Mongolia,Asia,2015,16.6,19.4,212.841,8.35,99,98,26.1,99,99,0.01,3875,3.0,2.2,2.3,10.1,0,1,69.1
900,Maldives,Asia,2015,8.4,9.8,68.362,1.26,99,99,25.3,99,99,0.17,9033,0.45,13.6,13.6,6.3,0,1,77.7
902,Comoros,Africa,2015,54.4,72.3,227.2735,0.14,91,64,24.3,92,91,0.01,1243,0.78,6.7,6.5,4.8,0,1,63.5
903,Trinidad and Tobago,Central America and Caribbean,2015,17.3,19.3,168.7145,5.97,90,79,27.5,88,96,0.4,18384,1.37,5.7,5.9,10.8,0,1,72.9
906,United Arab Emirates,Middle East,2015,6.5,7.6,68.5765,2.12,99,99,28.4,99,99,0.13,38663,9.26,5.3,5.1,10.6,0,1,77.3
956,Uganda,Africa,2015,38.9,55.7,311.7215,7.44,78,64,22.4,85,78,2.08,847,38.23,5.6,5.6,5.7,0,1,61.4
999,Sao Tome and Principe,Central America and Caribbean,2015,18.5,23.1,191.586,5.0,96,76,24.7,96,96,0.15,1585,0.2,5.5,5.3,5.6,0,1,69.4
1010,Pakistan,Asia,2015,62.1,76.0,160.141,0.04,72,54,23.9,72,72,0.13,1357,199.43,19.2,19.6,5.1,0,1,66.6
1057,Ghana,Africa,2015,38.8,54.6,244.6325,1.75,88,63,23.9,88,88,0.84,1774,27.85,6.2,6.1,6.9,0,1,62.8
1066,Afghanistan,Asia,2015,53.2,70.4,227.735,0.0,65,42,23.3,67,65,0.03,556,34.41,17.2,17.3,3.6,0,1,63.4
1067,Belize,Central America and Caribbean,2015,13.2,15.3,174.4925,6.71,94,95,28.9,94,94,0.4,4805,0.36,3.5,3.4,10.5,0,1,74.0
1116,Lebanon,Middle East,2015,7.1,8.3,60.3175,1.15,81,63,27.5,81,81,0.04,7643,6.53,4.9,4.9,8.5,0,1,78.8
1149,Jamaica,Central America and Caribbean,2015,13.4,15.5,132.2455,3.27,91,83,27.6,91,91,0.47,4908,2.89,1.8,1.7,9.6,0,1,74.1
1157,Equatorial Guinea,Africa,2015,67.6,93.2,328.8035,8.11,40,64,23.9,37,16,4.2,11283,1.17,8.4,8.3,5.5,0,1,57.4
1163,Barbados,Central America and Caribbean,2015,13.0,14.0,99.0935,9.68,97,89,27.7,97,97,0.28,16559,0.29,3.8,3.7,10.5,0,1,78.8
1204,North Macedonia,Rest of Europe,2015,10.0,11.4,97.197,3.57,92,97,26.7,92,91,0.08,4862,2.07,2.1,2.1,9.6,0,1,75.4
1205,Morocco,Africa,2015,20.2,23.5,70.9135,0.39,99,95,25.9,99,99,0.03,2875,34.66,6.4,6.2,5.0,0,1,75.7
1226,Senegal,Africa,2015,34.7,49.4,190.0275,0.19,89,54,22.9,85,89,0.1,1219,14.58,9.5,9.3,2.9,0,1,66.7
1250,St. Lucia,Central America and Caribbean,2015,19.5,21.9,136.3935,9.23,99,83,29.8,99,99,0.4,10094,0.18,4.3,4.3,8.9,0,1,75.6
1261,Colombia,South America,2015,13.4,15.5,140.0675,4.16,91,86,26.1,91,91,0.19,6176,47.52,2.1,1.9,8.1,0,1,76.5
1265,Tajikistan,Asia,2015,32.6,37.5,134.715,0.92,96,94,25.9,96,96,0.11,978,8.45,3.6,3.7,10.5,0,1,70.1
1319,Moldova,Rest of Europe,2015,13.6,15.8,171.2775,6.76,88,92,27.0,88,87,0.36,2732,2.83,2.7,2.8,11.6,0,1,71.5
1337,"Congo, Rep.",Africa,2015,37.6,52.6,262.224,2.05,80,64,23.1,80,80,2.04,2449,4.86,7.5,7.1,6.3,0,1,63.1
1357,Namibia,Africa,2015,33.3,47.6,315.473,2.63,92,64,24.2,92,92,4.58,4897,2.31,8.2,8.1,6.7,0,1,62.1
1480,Zimbabwe,Africa,2015,42.1,61.3,368.141,3.84,87,64,23.8,88,87,3.86,1445,13.81,5.6,5.5,8.2,0,1,59.5
1502,Kenya,Africa,2015,35.2,48.9,223.608,1.65,89,28,23.3,83,89,1.15,1465,47.88,7.8,7.6,6.3,0,1,64.8
1530,Montenegro,Rest of Europe,2015,3.3,4.0,100.861,8.49,82,94,26.5,89,89,0.03,6517,0.62,1.8,1.8,11.3,0,1,76.4
1558,Bolivia,South America,2015,25.4,31.3,184.52,3.15,99,83,26.4,99,99,0.15,3036,10.87,1.2,1.1,8.7,0,1,70.3
1603,Kyrgyz Republic,Asia,2015,19.9,22.3,165.7935,5.37,97,65,26.5,97,97,0.12,1121,5.96,3.3,3.4,10.8,0,1,70.7
1619,Guatemala,Central America and Caribbean,2015,23.7,28.3,163.8125,1.65,74,83,26.5,69,74,0.03,3995,15.57,1.2,1.2,6.3,0,1,73.3
1623,Qatar,Middle East,2015,6.7,7.8,56.2695,1.03,99,91,29.1,99,99,0.06,63039,2.57,5.2,4.9,9.8,0,1,79.8
1628,Mauritania,Africa,2015,55.0,82.7,203.5835,0.0,73,64,24.9,67,73,0.15,1524,4.05,7.8,7.5,4.3,0,1,63.9
1706,"Yemen, Rep.",Middle East,2015,46.1,60.7,221.5195,0.03,69,95,23.7,63,69,0.03,1602,26.5,13.6,13.4,3.0,0,1,66.1
1709,Zambia,Africa,2015,46.9,67.7,302.822,3.5,90,47,22.5,90,90,4.48,1338,15.88,6.3,6.1,6.9,0,1,61.7
1712,Kazakhstan,Asia,2015,10.6,11.9,182.111,3.33,98,98,26.3,98,98,0.14,10511,17.54,2.4,2.5,11.7,0,1,72.0
1715,Serbia,Rest of Europe,2015,5.4,6.3,114.328,7.2,94,86,26.0,95,95,0.02,5589,7.1,2.0,2.0,11.0,0,1,75.3
1721,Paraguay,South America,2015,19.0,22.3,145.351,5.21,93,72,26.6,93,93,0.14,5414,6.69,2.0,1.9,8.5,0,1,73.7
1731,"Micronesia, Fed. Sts.",Oceania,2015,24.2,28.9,164.871,1.59,78,65,29.6,71,72,0.17,2907,0.11,0.2,0.2,8.0,0,1,67.3
1784,Bosnia and Herzegovina,Rest of Europe,2015,5.4,6.3,96.067,4.9,82,88,25.7,74,82,0.08,4730,3.43,2.3,2.3,9.0,0,1,76.9
1800,Brunei Darussalam,Asia,2015,8.8,10.6,88.093,0.67,99,97,27.0,99,99,0.1,31164,0.41,5.7,5.1,9.0,0,1,75.3
1819,Niger,Africa,2015,51.8,93.8,249.086,0.12,65,64,21.8,83,65,0.06,484,20.0,9.6,9.4,1.8,0,1,60.6
1823,Armenia,Rest of Europe,2015,12.6,14.1,125.4875,4.04,94,97,26.3,96,94,0.09,3607,2.93,2.1,2.2,11.6,0,1,74.5
1843,Bangladesh,Asia,2015,31.0,38.1,129.753,0.01,97,90,21.6,98,97,0.01,1248,156.26,17.9,18.3,5.2,0,1,71.5
1874,Somalia,Africa,2015,83.6,134.3,308.303,0.0,42,64,23.1,47,42,0.13,386,13.8,6.6,6.4,2.1,0,1,55.9
1881,Uzbekistan,Asia,2015,17.3,19.3,140.815,2.59,99,99,26.7,99,99,0.14,2754,31.3,3.0,3.1,11.4,0,1,70.9
1904,Uruguay,South America,2015,7.6,8.9,105.685,6.0,95,93,27.3,95,95,0.24,15614,3.41,1.5,1.4,8.7,0,1,77.4
1947,Chile,South America,2015,6.7,7.9,88.8665,7.89,97,89,27.9,96,96,0.19,13495,17.97,0.8,0.8,10.3,0,1,79.6
1975,Liberia,Africa,2015,64.4,88.3,241.0125,3.18,52,64,24.0,65,52,3.5,722,4.47,6.5,6.4,4.4,0,1,62.3
1988,Rwanda,Africa,2015,34.6,47.7,203.574,6.31,98,87,22.0,99,98,0.59,751,11.37,5.7,5.7,4.0,0,1,67.5
2021,Mauritius,Africa,2015,12.8,14.5,144.3615,2.83,97,96,25.2,98,97,0.7,9260,1.26,6.9,6.8,9.1,0,1,74.4
2076,Papua New Guinea,Oceania,2015,40.2,51.0,225.4075,1.36,67,65,25.5,51,73,0.41,2679,8.11,1.3,1.3,4.3,0,1,63.5
2080,Singapore,Asia,2015,2.2,2.7,50.9615,1.82,96,90,23.6,96,96,0.07,55647,5.54,2.2,2.2,11.5,0,1,82.7
2117,"Iran, Islamic Rep.",Middle East,2015,13.3,15.5,81.8615,0.01,98,65,26.1,98,98,0.04,5201,78.49,8.5,8.6,9.8,0,1,75.8
2127,Cuba,Central America and Caribbean,2015,4.5,5.7,89.2395,4.65,99,99,25.6,99,99,0.16,7694,11.32,3.5,3.3,11.4,0,1,78.6
2145,Peru,South America,2015,12.2,15.7,124.07,5.68,90,63,26.5,88,90,0.13,6229,30.47,1.1,1.1,9.1,0,1,75.8
2147,Vanuatu,Oceania,2015,23.6,28.2,131.2085,1.42,64,65,26.1,80,64,0.17,2696,0.27,1.5,1.4,6.8,0,1,69.9
2177,Cambodia,Asia,2015,27.3,31.8,175.654,3.34,89,61,22.1,92,89,0.1,1163,15.52,1.9,1.9,4.7,0,1,68.6
2234,Central African Republic,Africa,2015,87.9,123.3,411.0745,0.9,47,64,22.8,51,47,1.12,377,4.49,8.2,8.2,4.2,0,1,50.9
2280,"Egypt, Arab Rep.",Africa,2015,19.8,23.3,149.529,0.18,93,64,29.5,93,93,0.13,3563,92.44,2.8,2.8,7.1,0,1,71.3
2290,Georgia,Rest of Europe,2015,9.4,10.5,156.2355,6.95,94,91,27.5,91,94,0.14,4014,3.73,2.7,2.8,12.7,0,1,73.0
2321,"Bahamas, The",Central America and Caribbean,2015,12.0,14.0,158.589,9.27,95,83,27.9,95,95,0.34,31699,0.37,2.5,2.5,11.1,0,1,73.1
2323,Suriname,South America,2015,18.2,20.3,170.129,4.75,89,21,26.5,78,89,0.47,9168,0.56,3.5,3.5,8.4,0,1,71.2
2338,Libya,Africa,2015,11.4,13.3,134.7895,0.01,97,97,28.0,97,97,0.08,7590,6.42,5.8,5.5,7.3,0,1,72.1
2367,Argentina,South America,2015,10.2,11.5,117.1895,8.49,94,87,27.6,93,94,0.13,13789,43.13,1.0,0.9,9.8,0,1,76.1
2378,Bhutan,Asia,2015,27.4,33.1,208.003,0.04,99,94,23.8,98,99,0.13,2753,0.73,15.4,16.0,3.1,0,1,70.4
2404,Cabo Verde,Africa,2015,16.7,19.5,125.149,4.54,96,95,24.5,93,93,0.26,3043,0.52,6.6,6.6,5.9,0,1,72.1
2409,Lao PDR,Asia,2015,42.1,53.8,195.625,7.09,89,65,22.8,89,89,0.15,2140,6.74,8.8,8.9,5.1,0,1,66.5
2448,Togo,Africa,2015,50.8,75.9,271.709,1.36,88,64,23.5,82,88,0.72,571,7.32,6.5,6.2,4.7,0,1,59.9
2495,Philippines,Asia,2015,23.4,29.6,199.7365,4.52,75,57,23.1,79,60,0.1,3001,102.11,1.0,9.7,9.3,0,1,70.6
2525,Haiti,Central America and Caribbean,2015,52.8,69.9,243.6235,2.78,64,83,25.2,64,60,0.67,1387,10.7,3.9,3.9,5.2,0,1,62.5
2581,Cote d'Ivoire,Africa,2015,65.7,90.8,396.458,1.54,83,64,23.7,81,83,0.63,1973,23.23,5.5,5.5,5.0,0,1,56.1
2617,Burkina Faso,Africa,2015,59.6,100.9,257.958,7.03,91,50,22.1,91,91,0.16,653,18.11,8.0,7.5,1.4,0,1,59.9
2620,Ecuador,South America,2015,13.2,15.4,123.906,3.69,78,76,27.1,84,78,0.16,6124,16.21,1.2,1.1,8.4,0,1,76.1
2641,Timor-Leste,Oceania,2015,42.8,50.2,149.7365,0.41,76,64,21.2,75,76,0.1,1333,1.2,1.9,11.1,4.5,0,1,68.5
2650,Fiji,Oceania,2015,20.6,24.4,185.858,2.63,99,94,27.6,99,99,0.12,5391,0.87,4.0,3.7,10.8,0,1,67.1
2661,Mali,Africa,2015,66.8,108.3,267.5905,0.62,64,64,22.9,67,64,0.39,751,17.44,7.7,7.5,2.3,0,1,57.5
2679,Samoa,Oceania,2015,15.9,18.6,111.949,2.1,59,55,32.1,78,66,0.17,4074,0.19,0.2,0.1,10.3,0,1,72.7
2701,Sri Lanka,Asia,2015,7.5,8.7,109.1795,2.72,99,99,23.0,99,99,0.01,3844,20.97,15.1,15.0,10.9,0,1,76.3
2710,Ethiopia,Africa,2015,43.2,62.4,224.423,0.76,77,64,20.5,75,77,0.19,641,100.84,1.4,1.2,2.6,0,1,65.0
2727,Malaysia,Asia,2015,6.9,8.1,121.723,0.55,99,99,25.6,99,99,0.14,9955,30.27,7.5,7.3,10.2,0,1,75.5
2737,Tonga,Oceania,2015,10.7,12.4,134.0135,0.23,78,99,32.1,96,78,0.17,4336,0.1,0.1,0.1,11.2,0,1,70.5
2752,South Africa,Africa,2015,28.6,36.3,351.3925,7.2,75,59,27.2,85,75,6.91,6260,55.39,4.4,5.3,10.1,0,1,62.6
2753,Tunisia,Africa,2015,14.8,17.2,91.343,1.5,98,98,26.3,98,98,0.04,4095,11.18,6.5,6.4,7.0,0,1,75.9
2820,"Venezuela, RB",South America,2015,16.4,19.1,141.554,6.21,87,83,26.7,87,87,0.4,17318,30.08,1.6,1.5,10.1,0,1,72.6
2840,Djibouti,Africa,2015,54.6,65.8,251.749,0.32,84,82,24.0,84,84,0.22,2653,0.91,5.6,5.4,4.1,0,1,64.1
2846,Nicaragua,Central America and Caribbean,2015,16.6,19.4,148.4805,3.72,98,83,27.2,99,98,0.11,2050,6.22,1.8,1.7,6.5,0,1,73.6
2848,Bahrain,Middle East,2015,6.5,7.6,66.684,1.53,98,99,24.8,98,98,0.05,22634,1.37,6.2,6.1,9.3,0,1,76.8
